brand,product_name,product_id,review_id,date,stars,review_title,review
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,RSCHZYNVJUJPO,"January 30, 2020",2,Not like the old Crocs and that's a shame.,I was happy to see Crocs available again and was looking forward to my new pair.  Unfortunately these shoes are too small and don't have the nice thick sole that was previously available.  The straps were also way too large on these and though I don't normally use the straps it did make me question the overall quality. I ordered my original size (11M) and am not convinced a size up would be better
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,RWO7A06D4L7SP,"November 26, 2019",5,Comfortable shoe,"Well made, fits true, reasonable cost , I highly recommend for casual comfort"
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,R3P6YO9KXHNHL3,"December 3, 2019",5,What’s not to love?,What’s not to love about a pair or army green Crocs? The only shoe you’ll ever need.
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,R16W4RKDNSG1E2,"August 16, 2019",5,Great shoes,Great
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,R1P09RRCYIVAK5,"January 17, 2020",5,Fit,"These shoes were a little big. So I put them in the dryer on low, checking them frequently, until they fit perfectly. Easy."
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,R3RDNV7TKVTVXP,"August 23, 2008",5,My husband loves them,I bought these for my husband to try as I love wearing Crocs.  Well...... he loves them so much I ended up buying him another pair in a different color.  He constantly has them on and is now wearing them to the golf course of golf days.  Once you try Crocs you are hooked.
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,R1HX85UJFTXVF8,"June 27, 2019",5,The Croc life chose me,"I get a lot of weird looks in public when I wear these. Also get dirt spots on my white socks when these are on. Other wise, Yeet Yeet!"
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,R3F4VHMCJMG6FA,"June 25, 2019",5,Love crocs,"Used to make fun of them, now they’re my favorite shoe"
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,R1SE0Q8VTD4IQ6,"January 8, 2009",5,Super Crocs,"My husband just loves these crocs and so does his co-workers. They all wear them also. Unfortunately, so does our dog, so he had to get a new pair this year. Very comfortable and he wears them almost everywhere."
Crocs,"Classic Clog|Comfortable Slip On Casual Water Shoe, Army Green, 13 M US Women / 11 M US Men",B0014C5RSS,R2NTF6PJBLU55Q,"March 30, 2009",4,Cayman Sandal,Comfortable is the best I can say. I Ware mine most of the time with or with out socks.
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R1QPMDJ7ZR7T9K,"May 16, 2018",5,"What can I say, my 18 year old loves them even though they are somewhat style challenged shoes.","My daughter wears these almost constantly. She has extra wide feet & they are one of the few shoes she actually likes & that fit. Her friends give her grief about them but, since she is a strong individual, she has never let that stop her from doing exactly as she pleases. She also is following in her stepfather's footsteps & going to school to get her RN degree so they are somewhat apropos, all things considered. She wears Birks all summer but, come fall, these are her jam for the rest of the year. For her, comfort beats style so you'll never catch her in a pair of heels like my younger daughter wears constantly. If you're like her, you'll love these shoes. Have a great day!"
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R10MDEYF3XJFR8,"July 1, 2019",5,Can't go wrong with Crocs!,"I have been wearing this style of Crocs for many years.  Can't go wrong with them.  I have feet that are difficult to fit and need to wear something around the house that has a bit of arch support.  Crocs are the only footwear that fits the bill.  The toe box is ample, the width is just right, the length fits perfectly.  In ""normal"" shoes, I wear a size 10 XXW and these are perfect!"
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R17QRLDJM4AG4V,"July 2, 2019",5,Vacation shoes,"Perfect fit. I bought them as the only pair of shoes to wear on my island vacation. They went on the airplane, to the beach, and sight seeing. They went with my shorts, swimsuit, jeans, and sun dress. My never hurt and I was comfortable the whole time. Best of all I didn't have to take up precious space in my carry on bag with another pair of shoes."
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R2WWOHI1PEYCL3,"February 5, 2015",5,Happy Convert,"Finally gave in, and I love them -- I have resisted crocs for many years, because they look, to be brutal, stupid.  But we spend the winter on the beach, and I got tired of ruining at least two pairs of white sandals a year by getting them wet when I was totally sure I wouldn't.  So: crocs.  The reviews left me frightened of mis-sizing, so I shot an arrow in the air and ordered an eight, which fits perfectly.  They are comfortable on the beach, comfortable around the house, and comfortable when we go out on errands.  Mine are white, and they have stayed dazzlingly clean looking.  On the downside, they do accumulate debris, and the do look -- stupid.  But noone is asking me to wear them on Madison Avenue, and for a beach community, they are just great."
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R2DX5QR28B4Y4G,"April 22, 2019",5,I love crocs.,"I absolutely love the classic crocs. They are so comfortable to wear, I have owned many pair over the years. Most recently my teenagers have been begging me for a pair. I ordered them each a pair in white. They love them because they are so convenient to wear to swim practice and swim meets. Easy to slip on before going outside to run around. They are easy to wash. They are comfy. I seriously love crocs and so does the rest of my family."
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R1EZS3BRAKPX6D,"December 23, 2019",5,Im in LOVE!!," LOVE, LOVE, LOVE these crocs! I ordered my usual size and they came slightly bigger than I was expecting them to, so I threw them in the dryer with a wet towel for about 4min. and they came out perfect! I've never had crocs before and it's my understanding that they're supposed to be larger shoes, but I prefer having a tighter fit. Overall, super comfy, easy to pair with outfits and perfect for a trip to the grocery store, walking the dogs, or going shopping with friends!"
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,RGZRH79UTOUSR,"December 29, 2019",5,Easy to clean. Fits well.,I was concerned about these being too big with no socks or thin socks but they actually fit perfect. My daughter has a wide foot and has touble typically with shoes but she does not complain about these. They are in style and Crocs is the best brand. The white are easier to clean than I expected also.
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R2YUS4XBGQYIQT,"January 11, 2020",5,Excellent Shoe,My whole family loves these shoes!  They are light and very comfortable.  I received another pair for christmas that have a cozy insert and I love them.  Great shoe for the money.
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R2BPJSWGTJYNTV,"December 23, 2018",3,One pair with mismatched shoes,"Ok first, I looove crocs! I even ordered a pair for myself and they were perfect but this pair that I ordered (for my sister) was completely weird. The pair contained one size 9 women’s shoe and one size 10 women’s shoe instead of two 10’s. It was so disappointing, but I’m just going to return then purchase again."
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R1X0937IRUFLTK,"July 24, 2019",5,Great foot support and protection,These CROC classic clogs are perfect for the needs of my daughter.  These were purchased to wear for outdoor casual use.  Perfect for times there may be a chance of feet getting wet!  Sturdy and stable and will get a lot of wear.  Would surely purchase again!
Crocs,"Classic Clog | Comfortable Slip on Casual Water Shoe, White, 10 M US Women / 8 M US Men",B00152AGEW,R36AO1920EKH9O,"August 8, 2019",5,love these,These were from my daughter and she loves them!! I do not think there has been a day since she got them that she has not worn them!!
